,ID,Lat,Lng,Segment
0,408910,37.319644,-121.940183,3420 - Auto Mall N
1,408909,37.319935,-121.940207,3420 - Auto Mall N
2,408908,37.320661,-121.940285,3420 - Auto Mall N
3,408907,37.321822,-121.940425,3420 - Auto Mall N
4,408905,37.32414,-121.940638,3420 - Auto Mall N
5,408906,37.324285,-121.94065,3420 - Auto Mall N
6,400951,37.325584,-121.940683,3420 - Auto Mall N
7,413030,37.335022,-121.935522,3420 - Auto Mall N
8,413029,37.335022,-121.935522,3420 - Auto Mall N
9,400057,37.335022,-121.935522,3420 - Auto Mall N
10,413027,37.34221,-121.926305,3420 - Auto Mall N
11,413028,37.34221,-121.926305,3420 - Auto Mall N
12,400147,37.34221,-121.926305,3420 - Auto Mall N
13,427922,37.343965,-121.924519,3420 - Auto Mall N
14,427921,37.343965,-121.924519,3420 - Auto Mall N
15,402937,37.348907,-121.917833,3420 - Auto Mall N
16,400343,37.348907,-121.917833,3420 - Auto Mall N
17,403263,37.349102,-121.917563,3420 - Auto Mall N
18,418852,37.357413,-121.907997,3420 - Auto Mall N
19,418851,37.357526,-121.907884,3420 - Auto Mall N
20,401560,37.357526,-121.907884,3420 - Auto Mall N
21,422357,37.35866,-121.906756,3420 - Auto Mall N
22,422358,37.35866,-121.906756,3420 - Auto Mall N
23,400045,37.363402,-121.902233,3420 - Auto Mall N
24,408437,37.363402,-121.902233,3420 - Auto Mall N
25,400122,37.36614,-121.901132,3420 - Auto Mall N
26,408438,37.36614,-121.901132,3420 - Auto Mall N
27,418849,37.370203,-121.901514,3420 - Auto Mall N
28,401541,37.370203,-121.901514,3420 - Auto Mall N
29,418850,37.370203,-121.901514,3420 - Auto Mall N
30,422361,37.378987,-121.903542,3420 - Auto Mall N
31,422359,37.380936,-121.904008,3420 - Auto Mall N
32,422360,37.380936,-121.904008,3420 - Auto Mall N
33,402281,37.38449,-121.904845,3420 - Auto Mall N
34,402283,37.391595,-121.906506,3420 - Auto Mall N
35,402285,37.398698,-121.908172,3420 - Auto Mall N
36,423139,37.403823,-121.909377,3420 - Auto Mall N
37,423140,37.404251,-121.909479,3420 - Auto Mall N
38,402286,37.405824,-121.909842,3420 - Auto Mall N
39,400088,37.414988,-121.912685,3420 - Auto Mall N
40,402939,37.415548,-121.912875,3420 - Auto Mall N
41,402940,37.415548,-121.912875,3420 - Auto Mall N
42,413026,37.421232,-121.914808,3420 - Auto Mall N
43,401464,37.424833,-121.916049,3420 - Auto Mall N
44,403185,37.424833,-121.916049,3420 - Auto Mall N
45,403186,37.424833,-121.916049,3420 - Auto Mall N
46,401489,37.427486,-121.916962,3420 - Auto Mall N
47,403187,37.430444,-121.917891,3420 - Auto Mall N
48,401538,37.430587,-121.917925,3420 - Auto Mall N
49,403188,37.430587,-121.917925,3420 - Auto Mall N
50,402290,37.436753,-121.919191,3420 - Auto Mall N
51,402292,37.445371,-121.920853,3420 - Auto Mall N
52,403198,37.56227,-122.036931,3440 - Decoto/84 NB
53,403194,37.451256,-121.922021,3420 - Auto Mall N
54,401643,37.456422,-121.923067,3420 - Auto Mall N
55,403200,37.450681,-121.921909,3420 - Auto Mall N
56,403199,37.450825,-121.921937,3420 - Auto Mall N
57,402800,37.463015,-121.925972,3420 - Auto Mall N
58,402828,37.467739,-121.928329,3420 - Auto Mall N
59,407219,37.477872,-121.93334,3420 - Auto Mall N
60,402789,37.481245,-121.935022,3420 - Auto Mall N
61,420001,37.480308,-121.93453,3420 - Auto Mall N
62,420002,37.480844,-121.93481,3420 - Auto Mall N
63,408755,37.483198,-121.936428,3420 - Auto Mall N
64,418449,37.483198,-121.936428,3420 - Auto Mall N
65,402802,37.484332,-121.93758,3420 - Auto Mall N
66,425000,37.484973,-121.938331,3420 - Auto Mall N
67,408756,37.485075,-121.938463,3420 - Auto Mall N
68,429753,37.487011,-121.940971,3420 - Auto Mall N
69,429757,37.487832,-121.942019,3420 - Auto Mall N
70,402947,37.492185,-121.947724,3420 - Auto Mall N
71,400189,37.493107,-121.948928,3420 - Auto Mall N
72,402948,37.493107,-121.948928,3420 - Auto Mall N
73,402949,37.49411,-121.950208,3420 - Auto Mall N
74,400309,37.495016,-121.951359,3420 - Auto Mall N
75,400417,37.500569,-121.958606,3420 - Auto Mall N
76,402952,37.506892,-121.966671,3420 - Auto Mall N
77,400249,37.506892,-121.966671,3420 - Auto Mall N
78,402951,37.506892,-121.966671,3420 - Auto Mall N
79,401639,37.508725,-121.968989,3430 - Mowry NB
80,402943,37.509242,-121.969628,3430 - Mowry NB
81,402956,37.520806,-121.984229,3430 - Mowry NB
82,402957,37.522223,-121.986981,3430 - Mowry NB
83,400662,37.522375,-121.987291,3430 - Mowry NB
84,400141,37.523522,-121.989607,3430 - Mowry NB
85,402960,37.523755,-121.990066,3430 - Mowry NB
86,400761,37.529397,-122.001271,3430 - Mowry NB
87,402962,37.529397,-122.001271,3430 - Mowry NB
88,402963,37.529397,-122.001271,3430 - Mowry NB
89,400490,37.531271,-122.004734,3440 - Decoto/84 NB
90,401888,37.541569,-122.018846,3440 - Decoto/84 NB
91,402967,37.544658,-122.021179,3440 - Decoto/84 NB
92,402968,37.54653,-122.022581,3440 - Decoto/84 NB
93,400137,37.54653,-122.022581,3440 - Decoto/84 NB
94,402964,37.54876,-122.024268,3440 - Decoto/84 NB
95,400716,37.54901,-122.02445,3440 - Decoto/84 NB
96,401545,37.559198,-122.03362,3440 - Decoto/84 NB
97,402972,37.562052,-122.036693,3440 - Decoto/84 NB
98,402973,37.563362,-122.038123,3440 - Decoto/84 NB
99,401011,37.563362,-122.038123,3440 - Decoto/84 NB
100,400674,37.565692,-122.040628,3450 - Whipple NB
101,402976,37.565692,-122.040628,3450 - Whipple NB
102,400539,37.572566,-122.045996,3450 - Whipple NB
103,402980,37.576193,-122.047274,3450 - Whipple NB
104,400534,37.581087,-122.048943,3450 - Whipple NB
105,402981,37.581087,-122.048943,3450 - Whipple NB
106,401062,37.58562,-122.051459,3450 - Whipple NB
107,401529,37.589488,-122.054221,3450 - Whipple NB
108,401613,37.592711,-122.056527,3450 - Whipple NB
109,400536,37.600243,-122.061912,3450 - Whipple NB
110,402985,37.600243,-122.061912,3450 - Whipple NB
111,402986,37.604734,-122.065032,3450 - Whipple NB
112,402989,37.608066,-122.067407,3460 - Hesperian/238 NB
113,400488,37.608066,-122.067407,3460 - Hesperian/238 NB
114,401561,37.614012,-122.071623,3460 - Hesperian/238 NB
115,402990,37.619533,-122.075651,3460 - Hesperian/238 NB
116,400611,37.619533,-122.075651,3460 - Hesperian/238 NB
117,400928,37.62282,-122.077983,3460 - Hesperian/238 NB
118,403170,37.630267,-122.083308,3460 - Hesperian/238 NB
119,400284,37.630267,-122.083308,3460 - Hesperian/238 NB
120,400041,37.633535,-122.085656,3460 - Hesperian/238 NB
121,402995,37.633535,-122.085656,3460 - Hesperian/238 NB
122,402996,37.63366,-122.085746,3460 - Hesperian/238 NB
123,408133,37.637181,-122.088255,3460 - Hesperian/238 NB
124,408135,37.639571,-122.089968,3460 - Hesperian/238 NB
125,417665,37.6431,-122.092479,3460 - Hesperian/238 NB
126,412639,37.644474,-122.093492,3460 - Hesperian/238 NB
127,412640,37.6446,-122.09358,3460 - Hesperian/238 NB
128,412638,37.645621,-122.094269,3460 - Hesperian/238 NB
129,412637,37.645749,-122.094355,3460 - Hesperian/238 NB
130,417666,37.646129,-122.094618,3460 - Hesperian/238 NB
131,417667,37.646129,-122.094618,3460 - Hesperian/238 NB
132,408134,37.652145,-122.09861,3460 - Hesperian/238 NB
133,403113,37.654859,-122.100333,3460 - Hesperian/238 NB
134,400685,37.654859,-122.100333,3460 - Hesperian/238 NB
135,403114,37.654988,-122.100415,3460 - Hesperian/238 NB
136,403001,37.659267,-122.103058,3460 - Hesperian/238 NB
137,401003,37.659267,-122.103058,3460 - Hesperian/238 NB
138,403002,37.659397,-122.103135,3460 - Hesperian/238 NB
139,400898,37.661989,-122.104729,3460 - Hesperian/238 NB
140,403005,37.664588,-122.106305,3460 - Hesperian/238 NB
141,400275,37.667821,-122.108348,3460 - Hesperian/238 NB
142,403006,37.667821,-122.108348,3460 - Hesperian/238 NB
143,400939,37.670921,-122.110371,3460 - Hesperian/238 NB
144,400180,37.674405,-122.114201,3460 - Hesperian/238 NB
145,400529,37.677613,-122.118725,3460 - Hesperian/238 NB
146,400990,37.680566,-122.123107,3460 - Hesperian/238 NB
147,400515,37.683298,-122.126995,3460 - Hesperian/238 NB
148,405735,37.683774,-122.127702,3460 - Hesperian/238 NB
149,402168,37.687544,-122.133225,3460 - Hesperian/238 NB
150,418451,37.687544,-122.133225,3460 - Hesperian/238 NB
151,400252,37.687544,-122.133225,3460 - Hesperian/238 NB
152,403008,37.68978,-122.136442,3460 - Hesperian/238 NB
153,400788,37.691415,-122.138842,3460 - Hesperian/238 NB
154,427924,37.6919,-122.139544,3460 - Hesperian/238 NB
155,403011,37.691998,-122.139682,3460 - Hesperian/238 NB
156,401517,37.703862,-122.156797,3460 - Hesperian/238 NB
157,401871,37.707384,-122.161886,3460 - Hesperian/238 NB
158,400574,37.711717,-122.168258,3460 - Hesperian/238 NB
159,418450,37.711717,-122.168258,3460 - Hesperian/238 NB
160,401629,37.714115,-122.171416,3460 - Hesperian/238 NB
161,400422,37.715784,-122.173158,3460 - Hesperian/238 NB
162,403018,37.719584,-122.177086,3460 - Hesperian/238 NB
163,403016,37.719584,-122.177086,3460 - Hesperian/238 NB
164,400333,37.719584,-122.177086,3460 - Hesperian/238 NB
165,403017,37.719697,-122.1772,3460 - Hesperian/238 NB
166,410363,37.723421,-122.180982,3460 - Hesperian/238 NB
167,403020,37.729878,-122.186837,3460 - Hesperian/238 NB
168,400360,37.730698,-122.187572,3460 - Hesperian/238 NB
169,403021,37.731528,-122.188289,3460 - Hesperian/238 NB
170,400955,37.732945,-122.189517,3460 - Hesperian/238 NB
171,403024,37.733652,-122.190132,3460 - Hesperian/238 NB
172,400495,37.74205,-122.19753,3460 - Hesperian/238 NB
173,410367,37.740346,-122.196016,3460 - Hesperian/238 NB
174,410366,37.740587,-122.196231,3460 - Hesperian/238 NB
175,410364,37.741681,-122.197207,3460 - Hesperian/238 NB
176,400608,37.740952,-122.196557,3460 - Hesperian/238 NB
177,403029,37.756731,-122.210399,3460 - Hesperian/238 NB
178,400949,37.756731,-122.210399,3460 - Hesperian/238 NB
179,403028,37.756731,-122.210399,3460 - Hesperian/238 NB
180,400678,37.764978,-122.217592,3460 - Hesperian/238 NB
181,403030,37.765099,-122.217693,3460 - Hesperian/238 NB
182,400341,37.771469,-122.22307,3460 - Hesperian/238 NB
183,403035,37.771469,-122.22307,3460 - Hesperian/238 NB
184,403034,37.77155,-122.223223,3460 - Hesperian/238 NB
185,403036,37.77487,-122.232742,3460 - Hesperian/238 NB
186,400607,37.77487,-122.232742,3460 - Hesperian/238 NB
187,403039,37.776769,-122.236107,3460 - Hesperian/238 NB
188,403041,37.776769,-122.236107,3460 - Hesperian/238 NB
189,400094,37.776769,-122.236107,3460 - Hesperian/238 NB
190,400682,37.779555,-122.237925,3460 - Hesperian/238 NB
191,403043,37.779555,-122.237925,3460 - Hesperian/238 NB
192,403044,37.780243,-122.238194,3460 - Hesperian/238 NB
193,408138,37.794185,-122.264627,3460 - Hesperian/238 NB
194,408139,37.794185,-122.264627,3460 - Hesperian/238 NB
195,400980,37.797439,-122.271974,3460 - Hesperian/238 NB
196,403047,37.797439,-122.271974,3460 - Hesperian/238 NB
197,401333,37.801768,-122.283102,3460 - Hesperian/238 NB
198,401142,37.802856,-122.286698,3460 - Hesperian/238 NB
199,425396,37.802221,-122.294876,3460 - Hesperian/238 NB
200,404746,37.802829,-122.286516,3460 - Hesperian/238 NB
201,400218,37.803542,-122.301498,3460 - Hesperian/238 NB
202,424999,37.80551,-122.303473,3460 - Hesperian/238 NB
203,400983,37.786336,-122.245364,3460 - Hesperian/238 NB
204,400765,37.811809,-122.303409,3460 - Hesperian/238 NB
205,400923,37.824153,-122.291162,3460 - Hesperian/238 NB
206,403104,37.822794,-122.291843,3460 - Hesperian/238 NB
207,400844,37.822794,-122.291843,3460 - Hesperian/238 NB
208,401143,37.829005,-122.292846,3460 - Hesperian/238 NB
209,402965,37.531353,-122.004885,3440 - Decoto/84 NB
